Дата_поставки_начало,Дата_поставки_конец,Поставщик,ТРУ,Цена_с_НДС,Кол_во_1,Кол_во_2,Кол_во_3,Сумма_Реализации,Продавец_1,Цена_1,Цена_2,Цена_3,Цена_4,Цена,Кол_во,Стоимость_у_поставщика
2024-06-10 00:00:00,2024-07-01 00:00:00,"ТОО""Cyber Tech""",УГОЛЬ АКТИВИРОВАННЫЙ БАУ-А,2900.0,19250,19250,10250,55825000,"ТОО""БВБ-Альянс""",1080.2597402597403,1065.809756097561,,,1080.2597402597403,19250.0,2900.0
2024-06-10 00:00:00,2024-07-01 00:00:00,"ТОО""Cyber Tech""",УГОЛЬ АКТИВИРОВАННЫЙ БАУ-А,2900.0,19250,19250,9000,55825000,"ТОО""БВБ-Альянс""",1080.2597402597403,592.704,,,1080.2597402597403,19250.0,2900.0
2024-04-08 00:00:00,2024-04-08 00:00:00,"ТОО""Cyber Tech""",Купорос медный А1 ГОСТ 19347-2014,2700000.0,7.6,12.6,12.6,20520000,"ТОО""БВБ-Альянс""",1350000,1136149.8380952382,,,1350000.0,7.6,2700000.0
Общий Итог,,,,,,,,132170000,,,,,,,,
2024-10-21 00:00:00,2024-10-21 00:00:00,"ТОО""TECHOIL COMPANY (ТЕХОИЛ КОМПАНИ)""","ADDINOL VERDICHTERÖL VDL 68 S DRUM 205L бочка (Общий объём поставки: 61 шт х 205 л. = 12.505,00 л.)",6574.4,12505,12505,"502,8 (kg)",82212872,"ТОО""TECHOIL ASTANA""",4317.073170731707,96752.59944311854,,,4317.073170731707,12505.0,6574.4
Общий Итог,,,,,,,,82212872,,,,,,,,
2024-08-13 00:00:00,2024-08-13 00:00:00,"ТОО""НефтьХимЭнерджи""",Реагент BIOSPERSE-250,8032.9648,15000,15000,,120494400,IMPEKS KIMYA DIS TICARET LIMITED SIRKETI HESAP BILGILERI HK,920.2215006666667,,,,920.2215006666667,15000.0,8032.96
Общий Итог,,,,,,,,120494400,,,,,,,,
2024-10-16 00:00:00,2024-11-15 00:00:00,"ТОО""Fenix Gold""",Адсорбент КНТ-АХВ-02М,6483680.0,39.9,39.9,59.9,258698832,"ТОО""Аст-Юг Холдинг""",6453000,2956815.706176962,,,6453000.0,39.9,6483680.0
Общий Итог,,,,,,,,258698832,,,,,,,,
2024-09-09 00:00:00,2024-10-31 00:00:00,"ТОО""TradeИмпортПром""",Метилдиэтаноламин,2685760.0,200,200,,537152000,STERLING AUXILIARIES PVT. LTD.,1469038.735,,,,1469038.735,200.0,2685760.0
2024-05-22 00:00:00,2024-05-22 00:00:00,"ТОО""TradeИмпортПром""",Соединение поворотноное гибкое PD-06,6353424.0,12,1281,,76241088,MAXWELL CONTINENTAL TANK SERV ENGINEERING B.V.,28745.35831381733,,,,28745.35831381733,12.0,6353424.0
2024-05-15 00:00:00,2024-05-15 00:00:00,"ТОО""TradeИмпортПром""","Порошок абразивный купершлак фракция 0,5-3,0мм",122.08,345000,345000,,42117600,"ТОО""Caspian Industrial Services"" (Каспиан Индастриал Сервисез)",45.5,,,,45.5,345000.0,122.08
Общий Итог,,,,,,,,655510688,,,,,,,,
2023-09-08 00:00:00,2023-10-31 00:00:00,"ТОО""NOVUS ENERGY""",Метилдиэтаноламин,2358720.0,120,1256.5199999999998,,283046400,"Акционерное общество ""Химсорбент""",1755155.5846146506,,,,1755155.5846146506,120.0,2358720.0
2024-11-21 00:00:00,2024-11-21 00:00:00,"ТОО""NOVUS ENERGY""",Адсорбент ADS-120,38808.0,5940,1755,,230519520,UOP LIMITED,20540.68888888889,,,,20540.68888888889,5940.0,38808.0
2023-09-25 00:00:00,2024-06-28 00:00:00,"ТОО""NOVUS ENERGY""",Антискалант Hypersperse MDC714,5483.072,41250,46250,,226176720,"""VEOLIA WATER TECHNOLOGIES & SOLUTIONS BELGIUM BV""",2288.8237837837837,,,,2288.8237837837837,41250.0,5483.072
2023-09-25 00:00:00,2024-06-28 00:00:00,"ТОО""NOVUS ENERGY""",Антискалант Hypersperse MDC714,5483.072,41250,6250,,226176720,FAMAT SERWIS BY ORDER OF VEOLA WATER TECHNOLOGIES & SOLUTIONS,2195.98736,,,,2195.98736,41250.0,5483.072
2023-09-25 00:00:00,2024-06-28 00:00:00,"ТОО""NOVUS ENERGY""",Антискалант Hypersperse MDC714,5483.072,41250,2500,,226176720,HERENTALS PLANT VEOLIA WATER TECHNOLOGIES&SOLUTIONS BELGIUM BV,2136.3344,,,,2136.3344,41250.0,5483.072
2023-09-19 00:00:00,2023-11-20 00:00:00,"ТОО""NOVUS ENERGY""",Деэмульгатор DISSOLVAN 3359,9009.0,7020,6660,,63243180,CLARIANT SE П/П CLARIANT PRODUKTE (DEUTSCHLAND) GMBH,3473.097147147147,,,,3473.097147147147,7020.0,9009.0
2023-09-19 00:00:00,2023-11-20 00:00:00,"ТОО""NOVUS ENERGY""",Деэмульгатор DISSOLVAN 3359,9009.0,7020,360,360,63243180,"ТОО""ACCURRO SOLUTIONS""",8580,4872,,,8580.0,7020.0,9009.0
2024-06-04 00:00:00,2023-10-02 00:00:00,"ТОО""NOVUS ENERGY""",Пеногаситель Тесил 201,4640328.0,20,24,24,92806560,"ТОО""ACCURRO SOLUTIONS""",4273060,211960,,,4273060.0,20.0,4640328.0
Общий Итог,,,,,,,,1411389000,,,,,,,,
2024-02-05 00:00:00,2024-03-06 00:00:00,"ТОО""KazOilGazConsult & Trade""",ТРУБА 152*8 15Х5М ГОСТ 550-75,6249.6,30797,41005,,192468931.2,ООО «ИнтерПромКонтракт»,3058.3750274356785,,,,3058.3750274356785,30797.0,6249.599999999999
2024-04-15 00:00:00,2024-04-15 00:00:00,"ТОО""KazOilGazConsult & Trade""",ТРУБА 550*25 15Х5М ТУ14-3Р-62-2002,9508.8,14552,87312,,138372057.6,ООО «ИнтерПромКонтракт»,346.31999999999994,,,,346.31999999999994,14552.0,9508.8
Общий Итог,,,,,,,,330840988.79999995,,,,,,,,
2024-09-26 00:00:00,2024-11-17 00:00:00,"ТОО""Туран Химстрой""",Натр едкий технический ГОСТ 2263-71,312480.0,2022.587,2022.587,,632017985.76,"ТОО""Аст-Юг Холдинг""",304589.99983684265,,,,304589.99983684265,2022.587,312480.0
2024-10-14 00:00:00,2024-11-20 00:00:00,"ТОО""Туран Химстрой""",Железо хлорное техническое,554.4,281180,301720,301720,155886192,"ТОО""Аст-Юг Холдинг""",547.2800000000001,88.21748332891423,,,547.2800000000001,281180.0,554.4
2024-02-07 00:00:00,2024-02-07 00:00:00,"ТОО""Туран Химстрой""",Агидол марки А/Б ТУ 38.5901237-90,8713.6,14000,14000,,121990400,"ТОО""Аст-Юг Холдинг""",8618.4,,,,8618.4,14000.0,8713.6
Общий Итог,,,,,,,,909894577.76,,,,,,,,
2023-09-11 00:00:00,2024-01-30 00:00:00,"ТОО""A-Z solutions""",Присадка N-метиланилин,2429.28,266650,149000,189000,647767512,"ТОО""Аст-Юг Холдинг""",2395.45,1423.5621066666668,,,2395.45,266650.0,2429.28
2023-09-11 00:00:00,2024-01-30 00:00:00,"ТОО""A-Z solutions""",Присадка N-метиланилин,2429.28,266650,128650,,647767512,"ООО ""KUBAT IMPEX""",1572.7211426350564,,,,1572.7211426350564,266650.0,2429.28
2024-07-24 00:00:00,2024-08-05 00:00:00,"ТОО""A-Z solutions""",Ингибитор коррозии Хеламин 906 Н,8960.0,28480,28480,28480,255180800,"ТОО""Аст-Юг Холдинг""",8945,7372.406292134831,,,8945.0,28480.0,8960.0
Общий Итог,,,,,,,,1550715824,,,,,,,,
